-2.5989,-11,1.8151,-0.096168,-4.0386,-2.8361,1.1315,-0.67196,-1.6369,3.4237,0.39495,-2.3769,-4.9242,-11,-11,-4.0613,-2.4759,-11,-4.0384,-11,-4.2596,-4.7772,1.047,-3.0104,-3.4885,-3.0501,-0.40675,-5.1287,-1.9286,-7.2756,-11,-11,-5.0033,-0.046819,-2.2226,-3.4703,-4.4784,-3.1423,-0.41408,0.14475,-8.1021,-2.4773
-11,-11,-11,-3.9134,-11,-4.6576,-1.9012,-0.97453,-2.4265,0.95151,-0.86984,-0.62598,-11,-11,-11,-11,-2.103,-11,-11,-11,-11,-11,1.5574,-1.8063,-2.7317,-11,-11,-11,-11,-11,-3.9446,-11,-3.478,-4.6129,-11,-11,-11,-11,-1.3819,1.1565,-5.8322,-2.7933
-11,-11,-11,-4.4601,-11,-3.9951,-0.2985,0.98846,-3.2744,-2.1799,0.62549,-1.1742,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,2.3466,-0.31445,-1.5077,-11,-11,-11,-11,-11,-3.6915,-11,-5.2546,-11,-11,-11,-11,-11,-3.8494,-1.7415,-5.7273,-4.2079
-11,-11,-11,-11,-11,-5.3072,-3.5266,-1.6891,-3.2876,-11,0.85382,-1.6306,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,0.071581,-4.8118,-11,-11,-11,-11,0.15818,-4.4077,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-6.2806,-2.1313
-3.9073,-11,0.019497,-0.71585,-2.5463,-2.371,0.61857,-1.1719,-2.2686,2.8891,-0.68129,-1.8338,-11,-11,-11,-11,-2.2982,-11,-11,-11,-11,-4.8741,1.5026,-3.2036,-1.1766,-4.9005,-1.3633,-6.3024,-0.64051,-11,-11,-11,-4.207,-2.3384,-11,-6.2655,-4.9322,-4.0869,-1.6,0.0043738,-6.5542,-11
-11,-11,-11,-4.5592,-11,-6.5364,-3.6237,-1.7594,-4.6449,-3.7474,0.48582,-4.6397,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,0.12509,-5.5414,-1.7786,-11,-11,-11,-1.9048,-6.0469,-11,-11,-9.1824,-11,-11,-4.4661,-11,-11,-11,-2.7881,-8.4628,-11
-3.5907,-11,-11,-2.7455,-3.5682,-5.4841,-0.182,0.42937,-1.1249,1.3758,0.87617,-1.506,-11,-11,-11,-11,-2.3498,-11,-11,-11,-5.6538,-4.2123,1.2862,-11,-1.5325,-4.4258,-11,-11,-0.21575,-6.0892,-11,-11,-5.1183,-11,-4.4932,-5.3808,-11,-4.1383,-1.6154,0.63358,-6.5326,-3.8996
-11,-4.6709,-11,-11,-5.3076,-4.3216,-1.9481,-0.15584,-2.7781,-3.4387,0.47011,-1.3723,-11,-5.604,-11,-11,-3.8641,-11,-4.4243,-11,-11,-11,1.1757,-4.7627,-1.3186,-6.7335,-11,-4.6271,-0.2851,-5.1133,-11,-11,-6.1156,-6.652,-11,-6.6866,-11,-11,-4.3045,-0.60423,-6.1359,-5.2701
-1.3323,-11,3.7057,0.08904,-1.7414,-2.9851,2.7862,-2.1232,-1.4191,1.1975,-0.72201,-2.3198,-11,-3.141,-2.8578,-2.105,-2.1211,-11,-4.0945,-11,-5.5662,-2.1736,0.86504,-1.6557,-4,-11,0.56179,-11,-2.2431,-6.8153,-3.9183,-6.3681,-4.1726,-0.91305,-1.108,0.47891,-3.0406,-11,-1.7439,-0.19013,-11,-4.6171
-3.1652,-11,1.9076,0.48588,-1.4086,-1.7455,1.1519,-0.45208,-2.9552,2.9251,-0.59769,-2.3774,-11,-11,-11,-11,-2.8003,-11,-2.5917,-11,-5.1264,-4.1086,1.8753,-1.234,-2.1333,-4.2805,-0.33414,-5.1402,-0.73314,-11,-11,-11,-4.6271,-1.843,-11,-4.0859,-6.0886,-2.5202,-1.2261,-0.10886,-7.7624,-4.6079
-11,-11,2.3807,-2.2406,-3.5427,-3.881,1.7571,-11,-1.7136,0.80942,0.26548,-2.6985,-11,-11,-11,-0.76056,-1.7816,-11,-11,-11,-3.1878,-3.8716,1.1038,-0.55342,-2.2422,-3.1509,0.53622,-11,-0.25066,-11,-0.25301,-11,-6.2717,-0.66308,-0.89803,-0.17861,-5.918,-11,-2.2245,-0.3455,-7.3761,-11
-11,-3.8045,-11,-11,-11,-11,-2.0309,0.80538,-1.2334,-11,1.9989,-0.21145,-11,-11,-11,-11,-11,-11,-11,-11,-11,-3.6789,1.6241,-3.6726,-2.4481,-11,-11,-4.4131,0.87618,-3.2099,-11,-11,-8.5235,-3.4481,-11,-11,-4.0205,-11,-11,-1.7705,-4.9813,-2.5605
